participant_id,group,czo_pre,courage_pre,czo_diff_conflict_mean,czo_diff_no_conflict_mean,czo_diff_conflict_minus_no_conflict,czo_diff_video1,czo_diff_video2,courage_diff_conflict_mean,courage_diff_no_conflict_mean
66,CZO事前3超,3.2,4.5,-0.050000000000000044,-0.050000000000000044,0.0,-0.10000000000000009,0.0,0.25,-0.08333333333333326
67,CZO事前3以下,3.0,3.8333333333333335,-0.5500000000000003,-0.15000000000000036,-0.3999999999999999,-0.40000000000000036,-0.7000000000000002,-1.5,-1.25
68,CZO事前3超,3.9,4.166666666666667,-0.10000000000000009,-0.10000000000000009,0.0,-0.10000000000000009,-0.10000000000000009,-0.8333333333333335,-1.5000000000000002
69,CZO事前3超,3.8,4.833333333333333,-0.1499999999999999,-0.09999999999999987,-0.050000000000000044,-0.19999999999999973,-0.10000000000000009,-0.16666666666666696,0.16666666666666607
70,CZO事前3超,3.2,2.6666666666666665,1.0500000000000003,1.1000000000000005,-0.050000000000000266,1.0,1.1000000000000005,1.0,1.0833333333333335
71,CZO事前3超,3.8,4.666666666666667,-0.20000000000000018,-0.40000000000000036,0.20000000000000018,-0.10000000000000009,-0.30000000000000027,0.08333333333333348,-0.4166666666666665
72,CZO事前3以下,2.6,1.8333333333333333,0.5,0.5500000000000003,-0.050000000000000266,0.2999999999999998,0.7000000000000002,-0.41666666666666674,0.7499999999999996
73,CZO事前3以下,2.9,4.5,-0.8,-0.7500000000000001,-0.04999999999999993,-0.8,-0.8,0.08333333333333337,0.25
74,CZO事前3超,3.4,4.833333333333333,-0.24999999999999978,-0.050000000000000044,-0.19999999999999973,-0.19999999999999973,-0.2999999999999998,-0.5,-1.5833333333333335
75,CZO事前3超,3.1,1.8333333333333333,0.55,0.9000000000000004,-0.3500000000000003,0.5,0.6000000000000001,0.3333333333333335,1.0000000000000004
76,CZO事前3以下,2.6,4.833333333333333,-0.2500000000000002,-0.050000000000000044,-0.20000000000000018,-0.30000000000000027,-0.20000000000000018,1.916666666666667,0.6666666666666667
77,CZO事前3以下,2.8,2.0,0.25,0.34999999999999987,-0.09999999999999987,0.10000000000000009,0.3999999999999999,-0.16666666666666652,-0.08333333333333304
78,CZO事前3超,3.5,4.166666666666667,-0.3999999999999999,0.050000000000000266,-0.4500000000000002,-0.7999999999999998,0.0,-0.41666666666666663,-1.1102230246251565e-16
79,CZO事前3超,3.7,4.5,0.050000000000000044,0.15000000000000013,-0.10000000000000009,0.10000000000000009,0.0,-4.440892098500626e-16,-0.5000000000000002
80,CZO事前3超,3.3,4.166666666666667,0.49999999999999956,0.24999999999999978,0.24999999999999978,0.8999999999999995,0.09999999999999964,-0.08333333333333348,0.33333333333333326
81,CZO事前3超,3.3,4.333333333333333,-0.2999999999999998,-0.44999999999999996,0.15000000000000013,-0.19999999999999973,-0.3999999999999999,-0.3333333333333335,-0.5833333333333337
82,CZO事前3超,4.0,3.5,2.220446049250313e-16,0.050000000000000044,-0.04999999999999982,-0.09999999999999964,0.10000000000000009,0.08333333333333348,0.25000000000000044
83,CZO事前3以下,2.3,2.0,0.2999999999999998,0.2999999999999998,0.0,0.2999999999999998,0.2999999999999998,1.5,1.5
84,CZO事前3以下,2.3,1.8333333333333333,-0.1499999999999999,-0.04999999999999982,-0.10000000000000009,0.0,-0.2999999999999998,-0.16666666666666674,0.08333333333333337
85,CZO事前3以下,2.0,2.5,0.10000000000000031,0.15000000000000013,-0.04999999999999982,-0.19999999999999973,0.40000000000000036,0.41666666666666674,1.1102230246251565e-16
86,CZO事前3超,3.2,4.0,-0.75,-0.4,-0.35,-0.6000000000000001,-0.8999999999999999,-1.1666666666666665,-1.5
87,CZO事前3以下,3.0,3.0,-0.20000000000000018,-0.20000000000000018,0.0,-0.20000000000000018,-0.20000000000000018,0.0,0.0
88,CZO事前3以下,2.2,3.6666666666666665,-0.25,-0.25,0.0,-0.20000000000000018,-0.2999999999999998,1.5,0.8333333333333333
89,CZO事前3超,3.6,7.0,0.19999999999999973,0.19999999999999973,0.0,0.19999999999999973,0.19999999999999973,0.16666666666666674,0.16666666666666696
90,CZO事前3超,4.0,5.833333333333333,-0.95,-1.2,0.25,-0.8999999999999999,-1.0,0.0,0.0
