participant_id,group,courage_pre,czo_pre,courage_diff_conflict_mean,courage_diff_no_conflict_mean,courage_diff_conflict_minus_no_conflict,courage_diff_video1,courage_diff_video2,is_conflict_high_group
81,勇気事前4超,4.333333333333333,3.3,-0.3333333333333335,-0.5833333333333337,0.2500000000000002,-0.3333333333333335,-0.3333333333333335,False
82,勇気事前4以下,3.5,4.0,0.08333333333333348,0.25000000000000044,-0.16666666666666696,0.16666666666666696,0.0,False
83,勇気事前4以下,2.0,2.3,1.5,1.5,0.0,1.5,1.5,False
84,勇気事前4以下,1.8333333333333333,2.3,-0.16666666666666674,0.08333333333333337,-0.2500000000000001,-0.16666666666666674,-0.16666666666666674,True
85,勇気事前4以下,2.5,2.0,0.41666666666666674,1.1102230246251565e-16,0.41666666666666663,0.33333333333333326,0.5000000000000002,True
86,勇気事前4以下,4.0,3.2,-1.1666666666666665,-1.5,0.3333333333333335,-1.3333333333333333,-1.0,False
87,勇気事前4以下,3.0,3.0,0.0,0.0,0.0,0.0,0.0,False
88,勇気事前4以下,3.6666666666666665,2.2,1.5,0.8333333333333333,0.6666666666666667,2.0,1.0,False
89,勇気事前4超,7.0,3.6,0.16666666666666674,0.16666666666666696,-2.220446049250313e-16,0.3333333333333335,0.0,False
90,勇気事前4超,5.833333333333333,4.0,0.0,0.0,0.0,0.0,0.0,False
91,勇気事前4超,4.833333333333333,3.1,-0.24999999999999956,4.440892098500626e-16,-0.25,-0.16666666666666607,-0.33333333333333304,False
92,勇気事前4超,5.0,3.5,-0.833333333333333,-0.16666666666666652,-0.6666666666666665,-0.33333333333333304,-1.333333333333333,False
93,勇気事前4以下,4.0,3.1,0.0,0.0,0.0,0.0,0.0,True
94,勇気事前4以下,2.3333333333333335,2.1,1.1666666666666665,0.8333333333333335,0.33333333333333304,1.0,1.333333333333333,False
95,勇気事前4以下,3.5,2.3,-0.3333333333333335,-0.3333333333333335,0.0,-0.3333333333333335,-0.3333333333333335,False
96,勇気事前4超,4.5,2.8,-1.0833333333333333,-0.33333333333333315,-0.7500000000000001,-1.0,-1.1666666666666665,False
97,勇気事前4以下,3.5,3.8,0.33333333333333304,0.33333333333333304,0.0,0.33333333333333304,0.33333333333333304,False
98,勇気事前4以下,3.3333333333333335,3.3,0.8333333333333335,0.9166666666666665,-0.08333333333333304,1.0,0.666666666666667,False
99,勇気事前4以下,3.5,2.4,0.25,0.08333333333333304,0.16666666666666696,1.3333333333333335,-0.8333333333333335,True
